fuente;tabla;archivo_datos;orden_columna;columna;variable_original;representa;unidad_o_codificacion;origen;limitantes_metadato;notas_metadato;observacion_paa;fuente_definicion;estado_definicion
INIA;INIA;data/processed/INIA/INIA.csv;40;HR100;Humedad Rel. = 100% (Hrs);Cantidad de horas en el día (0hrs a 24hrs) que la Humedad Relativa fue igual a 100%.;Horas;INIA: pie del CSV de cada estación;;;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;41;TMin15;T.Min < 15ºC (S:1/N:0);Cuando la temperatura mínima en la casilla meteorológica es menor a 15°C se indica con un “1” y por el contrario con un “0”.;"Indicador: 1=sí; 0=no";INIA: pie del CSV de cada estación;;;"Indicador 1=sí, 0=no; el cero es un dato presente, no un nulo.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;42;GradosMenos6;Grados Dias 06.0º (ºC);"Se calcula restando el promedio diario (00hs a 24hs) de cada día con una temperatura base. Grados días = Promedio 24hs - Temperatura base Temperaturas Bases: 4.5°C; 6.0°C; 7.0°C; 8.0C; 9.0°C; 10.0°C; 10.5°C; 12.8°C. Si el promedio de temperatura del día es menor a la temperatura base, los grados días no se calculan, la variable queda vacía.";Grados-día sobre la base positiva indicada (encabezado fuente: ºC);INIA: pie del CSV de cada estación;;;Vacío potencialmente estructural: el metadato indica que no se calcula si la media diaria es inferior a la base. El CSV no permite atribuir cada vacío a esa causa. No imputado. El nombre processed puede confundir: son grados-día sobre una base POSITIVA, no grados por debajo de cero.;data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;43;GradosMenos4p5;Grados Dias 04.5º (ºC);"Se calcula restando el promedio diario (00hs a 24hs) de cada día con una temperatura base. Grados días = Promedio 24hs - Temperatura base Temperaturas Bases: 4.5°C; 6.0°C; 7.0°C; 8.0C; 9.0°C; 10.0°C; 10.5°C; 12.8°C. Si el promedio de temperatura del día es menor a la temperatura base, los grados días no se calculan, la variable queda vacía.";Grados-día sobre la base positiva indicada (encabezado fuente: ºC);INIA: pie del CSV de cada estación;;;Vacío potencialmente estructural: el metadato indica que no se calcula si la media diaria es inferior a la base. El CSV no permite atribuir cada vacío a esa causa. No imputado. El nombre processed puede confundir: son grados-día sobre una base POSITIVA, no grados por debajo de cero.;data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;44;GradosMenos7;Grados Dias 07.0º (ºC);"Se calcula restando el promedio diario (00hs a 24hs) de cada día con una temperatura base. Grados días = Promedio 24hs - Temperatura base Temperaturas Bases: 4.5°C; 6.0°C; 7.0°C; 8.0C; 9.0°C; 10.0°C; 10.5°C; 12.8°C. Si el promedio de temperatura del día es menor a la temperatura base, los grados días no se calculan, la variable queda vacía.";Grados-día sobre la base positiva indicada (encabezado fuente: ºC);INIA: pie del CSV de cada estación;;;Vacío potencialmente estructural: el metadato indica que no se calcula si la media diaria es inferior a la base. El CSV no permite atribuir cada vacío a esa causa. No imputado. El nombre processed puede confundir: son grados-día sobre una base POSITIVA, no grados por debajo de cero.;data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;45;GradosMenos8;Grados Dias 08.0º (ºC);"Se calcula restando el promedio diario (00hs a 24hs) de cada día con una temperatura base. Grados días = Promedio 24hs - Temperatura base Temperaturas Bases: 4.5°C; 6.0°C; 7.0°C; 8.0C; 9.0°C; 10.0°C; 10.5°C; 12.8°C. Si el promedio de temperatura del día es menor a la temperatura base, los grados días no se calculan, la variable queda vacía.";Grados-día sobre la base positiva indicada (encabezado fuente: ºC);INIA: pie del CSV de cada estación;;;Vacío potencialmente estructural: el metadato indica que no se calcula si la media diaria es inferior a la base. El CSV no permite atribuir cada vacío a esa causa. No imputado. El nombre processed puede confundir: son grados-día sobre una base POSITIVA, no grados por debajo de cero.;data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;46;GradosMenos9;Grados Dias 09.0º (ºC);"Se calcula restando el promedio diario (00hs a 24hs) de cada día con una temperatura base. Grados días = Promedio 24hs - Temperatura base Temperaturas Bases: 4.5°C; 6.0°C; 7.0°C; 8.0C; 9.0°C; 10.0°C; 10.5°C; 12.8°C. Si el promedio de temperatura del día es menor a la temperatura base, los grados días no se calculan, la variable queda vacía.";Grados-día sobre la base positiva indicada (encabezado fuente: ºC);INIA: pie del CSV de cada estación;;;Vacío potencialmente estructural: el metadato indica que no se calcula si la media diaria es inferior a la base. El CSV no permite atribuir cada vacío a esa causa. No imputado. El nombre processed puede confundir: son grados-día sobre una base POSITIVA, no grados por debajo de cero.;data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;47;GradosMenos10;Grados Dias 10.0º (ºC);"Se calcula restando el promedio diario (00hs a 24hs) de cada día con una temperatura base. Grados días = Promedio 24hs - Temperatura base Temperaturas Bases: 4.5°C; 6.0°C; 7.0°C; 8.0C; 9.0°C; 10.0°C; 10.5°C; 12.8°C. Si el promedio de temperatura del día es menor a la temperatura base, los grados días no se calculan, la variable queda vacía.";Grados-día sobre la base positiva indicada (encabezado fuente: ºC);INIA: pie del CSV de cada estación;;;Vacío potencialmente estructural: el metadato indica que no se calcula si la media diaria es inferior a la base. El CSV no permite atribuir cada vacío a esa causa. No imputado. El nombre processed puede confundir: son grados-día sobre una base POSITIVA, no grados por debajo de cero.;data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;48;GradosMenos10p5;Grados Dias 10.5º (ºC);"Se calcula restando el promedio diario (00hs a 24hs) de cada día con una temperatura base. Grados días = Promedio 24hs - Temperatura base Temperaturas Bases: 4.5°C; 6.0°C; 7.0°C; 8.0C; 9.0°C; 10.0°C; 10.5°C; 12.8°C. Si el promedio de temperatura del día es menor a la temperatura base, los grados días no se calculan, la variable queda vacía.";Grados-día sobre la base positiva indicada (encabezado fuente: ºC);INIA: pie del CSV de cada estación;;;Vacío potencialmente estructural: el metadato indica que no se calcula si la media diaria es inferior a la base. El CSV no permite atribuir cada vacío a esa causa. No imputado. El nombre processed puede confundir: son grados-día sobre una base POSITIVA, no grados por debajo de cero.;data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;49;GradosMenos12p8;Grados Dias 12.8º (ºC);"Se calcula restando el promedio diario (00hs a 24hs) de cada día con una temperatura base. Grados días = Promedio 24hs - Temperatura base Temperaturas Bases: 4.5°C; 6.0°C; 7.0°C; 8.0C; 9.0°C; 10.0°C; 10.5°C; 12.8°C. Si el promedio de temperatura del día es menor a la temperatura base, los grados días no se calculan, la variable queda vacía.";Grados-día sobre la base positiva indicada (encabezado fuente: ºC);INIA: pie del CSV de cada estación;;;Vacío potencialmente estructural: el metadato indica que no se calcula si la media diaria es inferior a la base. El CSV no permite atribuir cada vacío a esa causa. No imputado. El nombre processed puede confundir: son grados-día sobre una base POSITIVA, no grados por debajo de cero.;data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;50;HRMin;HR Mínima (%);Valor más bajo de Humedad Relativa en el día (0hrs a 24hrs).;%;INIA: pie del CSV de cada estación;;;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;51;HRMed;HR Media (%);Promedio (suma de las HR% de las 24 horas / 24) de la humedad relativa en el día (0hrs a 24hrs) .;%;INIA: pie del CSV de cada estación;;;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;EstacionAgr;data/processed/INIA/EstacionAgr.csv;1;EstacionAgr;Nombre del archivo INIA;"Nombre de la estación agrometeorológica; vincula cada observación con el catálogo EstacionAgr.";Nombre/clave de estación;Transformación existente del proyecto de ingeniería;;;Se conservan las grafías del catálogo processed, incluidos sus acentos y erratas.;scripts/etl_inia.py;"Derivada; documentada en código"
INIA;EstacionAgr;data/processed/INIA/EstacionAgr.csv;2;DepartamentoCodigo;DepartamentoCodigo;"Código del departamento asignado a la estación en el catálogo processed; define el filtro geográfico de SNIG.";Código del catálogo Departamentos;Transformación existente del proyecto de ingeniería;;;;data/processed/INIA/EstacionAgr.csv | data/processed/SNIG/Catalogos/Departamentos.csv;Relación explícita en los catálogos processed
PAD;PAD;data/processed/PAD/PAD.csv;1;Anio;YYYY_MM0;Año de la observación mensual PAD, extraído del nombre del campo JSON.;Componente de fecha;Transformación existente del proyecto de ingeniería;;;;scripts/etl_pad.py;"Derivada; documentada en código"
PAD;PAD;data/processed/PAD/PAD.csv;2;Mes;YYYY_MM0;Mes de la observación mensual PAD, extraído del nombre del campo JSON.;Componente de fecha;Transformación existente del proyecto de ingeniería;;;;scripts/etl_pad.py;"Derivada; documentada en código"
PAD;PAD;data/processed/PAD/PAD.csv;3;UbicacionCodigo;UbicacionCodigo;"Identificador de ubicación generado por el ETL a partir de pares de coordenadas; permite relacionar PAD con Ubicacion.";Identificador;Transformación existente del proyecto de ingeniería;;;No es un código de área de enumeración SNIG.;scripts/etl_pad.py;"Derivada; documentada en código"
PAD;PAD;data/processed/PAD/PAD.csv;4;CapProm;YYYY_MM0;"Promedio mensual del indicador hídrico PAD de una ubicación; procede del campo mensual terminado en 0, no de los campos decadales 1, 2 y 3.";"Unidad física no explicitada en los metadatos aportados; ETL valida rango 0–100";Transformación existente del proyecto de ingeniería;;;No se presenta como porcentaje confirmado solo por el rango. El ETL promedia claves mensuales duplicadas.;scripts/etl_pad.py;"Transformación documentada; definición física/unidad pendiente"
PAD;Ubicacion;data/processed/PAD/Ubicacion.csv;1;UbicacionCodigo;UbicacionCodigo;"Identificador de ubicación generado por el ETL a partir de pares de coordenadas; permite relacionar PAD con Ubicacion.";Identificador;Transformación existente del proyecto de ingeniería;;;No es un código de área de enumeración SNIG.;scripts/etl_pad.py;"Derivada; documentada en código"
PAD;Ubicacion;data/processed/PAD/Ubicacion.csv;2;DepartamentoCodigo;DepartamentoCodigo;"Departamento asignado por el ETL a la ubicación PAD mediante cruce geográfico; incluye resolución por proximidad de algunos casos no intersectados.";Código del catálogo Departamentos;Transformación existente del proyecto de ingeniería;;;Revisar el procedimiento de asignación geográfica antes de interpretar puntos próximos a límites.;scripts/etl_pad.py;"Derivada; documentada en código"
PAD;Ubicacion;data/processed/PAD/Ubicacion.csv;3;Latitud;Latitud;Latitud de la ubicación PAD procedente del JSON original.;"Grados; ETL utiliza EPSG:4326";Transformación existente del proyecto de ingeniería;;;;scripts/etl_pad.py;"Derivada; documentada en código"
PAD;Ubicacion;data/processed/PAD/Ubicacion.csv;4;Longitud;Longitud;Longitud de la ubicación PAD procedente del JSON original.;"Grados; ETL utiliza EPSG:4326";Transformación existente del proyecto de ingeniería;;;;scripts/etl_pad.py;"Derivada; documentada en código"
